lemma,"poscode","surface"
0V4,"0","0V4"
19S,"0","19S"
23M,"0","23M"
2A5,"0","2A5"
2H0,"0","2H0"
2K7,"0","2K7"
3AU,"0","3AU"
4A7,"0","4A7"
4U9,"0","4U9"
52A,"0","52A"
57C,"0","57C"
5B2,"0","5B2"
6J4,"0","6J4"
6S0,"0","6S0"
7W6,"0","7W6"
87K,"0","87K"
A39,"0","A39"
A50,"0","A50"
AAA,"0","AAA"
AAC,"0","AAC"
AAE,"0","AAE"
AAF,"0","AAF"
AAH,"0","AAH"
AAK,"0","AAK"
AAL,"0","AAL"
AAM,"0","AAM"
AAN,"0","AAN"
AAO,"0","AAO"
AAP,"0","AAP"
AAQ,"0","AAQ"
AAR,"0","AAR"
AAV,"0","AAV"
AAX,"0","AAX"
AAY,"0","AAY"
AAZ,"0","AAZ"
ABA,"0","ABA"
ABD,"0","ABD"
ABE,"0","ABE"
ABF,"0","ABF"
ABH,"0","ABH"
ABI,"0","ABI"
ABJ,"0","ABJ"
ABK,"0","ABK"
ABL,"0","ABL"
ABM,"0","ABM"
ABN,"0","ABN"
ABQ,"0","ABQ"
ABR,"0","ABR"
ABS,"0","ABS"
ABT,"0","ABT"
ABV,"0","ABV"
ABX,"0","ABX"
ABY,"0","ABY"
ABZ,"0","ABZ"
ACA,"0","ACA"
ACC,"0","ACC"
ACD,"0","ACD"
ACE,"0","ACE"
ACH,"0","ACH"
ACI,"0","ACI"
ACJ,"0","ACJ"
ACK,"0","ACK"
ACP,"0","ACP"
ACR,"0","ACR"
ACS,"0","ACS"
ACT,"0","ACT"
ACV,"0","ACV"
ACX,"0","ACX"
ACY,"0","ACY"
ACZ,"0","ACZ"
ADA,"0","ADA"
ADB,"0","ADB"
ADD,"0","ADD"
ADE,"0","ADE"
ADF,"0","ADF"
ADH,"0","ADH"
ADI,"0","ADI"
ADJ,"0","ADJ"
ADK,"0","ADK"
ADL,"0","ADL"
ADM,"0","ADM"
ADQ,"0","ADQ"
ADS,"0","ADS"
ADU,"0","ADU"
ADW,"0","ADW"
ADX,"0","ADX"
ADY,"0","ADY"
ADZ,"0","ADZ"
AEA,"0","AEA"
AEH,"0","AEH"
AEP,"0","AEP"
AER,"0","AER"
AES,"0","AES"
AET,"0","AET"
AEX,"0","AEX"
AEY,"0","AEY"
AFA,"0","AFA"
AFE,"0","AFE"
AFL,"0","AFL"
AFS,"0","AFS"
AFT,"0","AFT"
AFW,"0","AFW"
AFY,"0","AFY"
AFZ,"0","AFZ"
AGA,"0","AGA"
AGB,"0","AGB"
AGC,"0","AGC"
AGE,"0","AGE"
AGF,"0","AGF"
AGH,"0","AGH"
AGI,"0","AGI"
AGJ,"0","AGJ"
AGM,"0","AGM"
AGN,"0","AGN"
AGP,"0","AGP"
AGQ,"0","AGQ"
AGR,"0","AGR"
AGS,"0","AGS"
AGT,"0","AGT"
AGU,"0","AGU"
AGV,"0","AGV"
AGX,"0","AGX"
AGZ,"0","AGZ"
AHB,"0","AHB"
AHE,"0","AHE"
AHN,"0","AHN"
AHO,"0","AHO"
AHQ,"0","AHQ"
AHS,"0","AHS"
AHU,"0","AHU"
AIA,"0","AIA"
AIK,"0","AIK"
AIN,"0","AIN"
AIR,"0","AIR"
AIS,"0","AIS"
AIT,"0","AIT"
AIU,"0","AIU"
AIZ,"0","AIZ"
AJA,"0","AJA"
AJF,"0","AJF"
AJI,"0","AJI"
AJL,"0","AJL"
AJN,"0","AJN"
AJR,"0","AJR"
AJU,"0","AJU"
AJY,"0","AJY"
AKA,"0","AKA"
AKB,"0","AKB"
AKC,"0","AKC"
AKD,"0","AKD"
AKF,"0","AKF"
AKI,"0","AKI"
AKJ,"0","AKJ"
AKK,"0","AKK"
AKL,"0","AKL"
AKN,"0","AKN"
AKO,"0","AKO"
AKP,"0","AKP"
AKR,"0","AKR"
AKS,"0","AKS"
AKT,"0","AKT"
AKU,"0","AKU"
AKV,"0","AKV"
AKX,"0","AKX"
AKY,"0","AKY"
ALA,"0","ALA"
ALB,"0","ALB"
ALC,"0","ALC"
ALF,"0","ALF"
ALG,"0","ALG"
ALH,"0","ALH"
ALI,"0","ALI"
ALJ,"0","ALJ"
ALL,"0","ALL"
ALM,"0","ALM"
ALN,"0","ALN"
ALO,"0","ALO"
ALP,"0","ALP"
ALR,"0","ALR"
ALS,"0","ALS"
ALU,"0","ALU"
ALW,"0","ALW"
ALX,"0","ALX"
ALY,"0","ALY"
AMA,"0","AMA"
AMB,"0","AMB"
AMC,"0","AMC"
AMD,"0","AMD"
AMH,"0","AMH"
AMI,"0","AMI"
AMM,"0","AMM"
AMQ,"0","AMQ"
AMS,"0","AMS"
AMV,"0","AMV"
AMZ,"0","AMZ"
ANB,"0","ANB"
ANC,"0","ANC"
AND,"0","AND"
ANE,"0","ANE"
ANF,"0","ANF"
ANG,"0","ANG"
ANI,"0","ANI"
ANK,"0","ANK"
ANM,"0","ANM"
ANN,"0","ANN"
ANP,"0","ANP"
ANQ,"0","ANQ"
ANR,"0","ANR"
ANS,"0","ANS"
ANU,"0","ANU"
ANV,"0","ANV"
ANX,"0","ANX"
AOC,"0","AOC"
AOE,"0","AOE"
AOG,"0","AOG"
AOH,"0","AOH"
AOI,"0","AOI"
AOJ,"0","AOJ"
AOK,"0","AOK"
AOL,"0","AOL"
AOO,"0","AOO"
AOR,"0","AOR"
AOT,"0","AOT"
AOU,"0","AOU"
APA,"0","APA"
APC,"0","APC"
APF,"0","APF"
APG,"0","APG"
API,"0","API"
APK,"0","APK"
APL,"0","APL"
APN,"0","APN"
APO,"0","APO"
APQ,"0","APQ"
APW,"0","APW"
APZ,"0","APZ"
AQA,"0","AQA"
AQB,"0","AQB"
AQC,"0","AQC"
AQG,"0","AQG"
AQI,"0","AQI"
AQJ,"0","AQJ"
AQP,"0","AQP"
ARA,"0","ARA"
ARB,"0","ARB"
ARC,"0","ARC"
ARD,"0","ARD"
ARE,"0","ARE"
ARH,"0","ARH"
ARI,"0","ARI"
ARK,"0","ARK"
ARM,"0","ARM"
ARN,"0","ARN"
ARR,"0","ARR"
ART,"0","ART"
ARU,"0","ARU"
ARV,"0","ARV"
ARW,"0","ARW"
ASA,"0","ASA"
ASB,"0","ASB"
ASD,"0","ASD"
ASE,"0","ASE"
