lemma,"poscode","surface"
Zilina,"0","Zilina"
Angelholm,"0","Angelholm"
Corlu,"0","Corlu"
Ile d Yeu,"0","Ile d Yeu"
Ile des Pins,"0","Ile des Pins"
Östersund,"0","Östersund"
108 Mile Ranch,"0","108 Mile Ranch"
Aachen,"0","Aachen"
Aalborg,"0","Aalborg"
Aarhus,"0","Aarhus"
Aasiaat,"0","Aasiaat"
Abadan,"0","Abadan"
Abaiang Atoll,"0","Abaiang Atoll"
Abakan,"0","Abakan"
Abbotsford,"0","Abbotsford"
Abeche,"0","Abeche"
Abemama,"0","Abemama"
Aberdeen,"0","Aberdeen"
Abha,"0","Abha"
Abidjan,"0","Abidjan"
Abilene,"0","Abilene"
Ablow,"0","Ablow"
Abu Dhabi,"0","Abu Dhabi"
Abu Simbel,"0","Abu Simbel"
Abuja,"0","Abuja"
Acandi,"0","Acandi"
Acapulco,"0","Acapulco"
Acarigua,"0","Acarigua"
Accra,"0","Accra"
Achinsk,"0","Achinsk"
Adak Island,"0","Adak Island"
Adana,"0","Adana"
Addis Ababa,"0","Addis Ababa"
Addison,"0","Addison"
Adelaide,"0","Adelaide"
Aden,"0","Aden"
Adiyaman,"0","Adiyaman"
Adrar,"0","Adrar"
Afutara,"0","Afutara"
Afyon,"0","Afyon"
Agadez,"0","Agadez"
Agadir,"0","Agadir"
Agana,"0","Agana"
Agartala,"0","Agartala"
Agatti Island,"0","Agatti Island"
Agen,"0","Agen"
Aggeneys,"0","Aggeneys"
Agra,"0","Agra"
Agri,"0","Agri"
Agrinion,"0","Agrinion"
Aguadilla,"0","Aguadilla"
Aguascalientes,"0","Aguascalientes"
Aguni,"0","Aguni"
Ahe,"0","Ahe"
Ahmed Al Jaber AB,"0","Ahmed Al Jaber AB"
Ahmedabad,"0","Ahmedabad"
Ahuas,"0","Ahuas"
Ahwaz,"0","Ahwaz"
Aiken,"0","Aiken"
Aioun El Atrouss,"0","Aioun El Atrouss"
Airlie Beach,"0","Airlie Beach"
Aitutaki,"0","Aitutaki"
Aix-les-milles,"0","Aix-les-milles"
Aizwal,"0","Aizwal"
Ajaccio,"0","Ajaccio"
Akhiok,"0","Akhiok"
Akiak,"0","Akiak"
Akita,"0","Akita"
Aklavik,"0","Aklavik"
Akola,"0","Akola"
Akron,"0","Akron"
Akrotiri,"0","Akrotiri"
Aksu,"0","Aksu"
Aktau,"0","Aktau"
Aktyubinsk,"0","Aktyubinsk"
Akulivik,"0","Akulivik"
Akure,"0","Akure"
Akureyri,"0","Akureyri"
Akutan,"0","Akutan"
Al Ain,"0","Al Ain"
Al Bayda ,"0","Al Bayda "
Al Ghaidah Intl,"0","Al Ghaidah Intl"
Al Hociema,"0","Al Hociema"
Al-Jawf,"0","Al-Jawf"
Al-ahsa,"0","Al-ahsa"
Alabaster,"0","Alabaster"
Alakanuk,"0","Alakanuk"
Alamogordo,"0","Alamogordo"
Alamosa,"0","Alamosa"
Alanya,"0","Alanya"
Albany,"0","Albany"
Albenga,"0","Albenga"
Albi,"0","Albi"
Albina,"0","Albina"
Albuquerque,"0","Albuquerque"
Albury,"0","Albury"
Aldan,"0","Aldan"
Alderney,"0","Alderney"
Aleknagik,"0","Aleknagik"
Aleppo,"0","Aleppo"
Alert Bay,"0","Alert Bay"
Alert,"0","Alert"
Alesund,"0","Alesund"
Alexander Bay,"0","Alexander Bay"
Alexander City,"0","Alexander City"
Alexandra,"0","Alexandra"
Alexandria,"0","Alexandria"
Alexandroupolis,"0","Alexandroupolis"
Alghero,"0","Alghero"
Algier,"0","Algier"
Alicante,"0","Alicante"
Alice Springs,"0","Alice Springs"
