lemma,"poscode","surface"
Afghanistan,"0","Afghanistan"
Albania,"0","Albania"
Algeria,"0","Algeria"
American Samoa,"0","American Samoa"
Angola,"0","Angola"
Anguilla,"0","Anguilla"
Antigua and Barbuda,"0","Antigua and Barbuda"
Argentina,"0","Argentina"
Armenia,"0","Armenia"
Aruba,"0","Aruba"
Australia,"0","Australia"
Austria,"0","Austria"
Azerbaijan,"0","Azerbaijan"
Bahamas,"0","Bahamas"
Bahrain,"0","Bahrain"
Bangladesh,"0","Bangladesh"
Barbados,"0","Barbados"
Belarus,"0","Belarus"
Belgium,"0","Belgium"
Belize,"0","Belize"
Benin,"0","Benin"
Bermuda,"0","Bermuda"
Bhutan,"0","Bhutan"
Bolivia,"0","Bolivia"
Bosnia and Herzegovina,"0","Bosnia and Herzegovina"
Botswana,"0","Botswana"
Brazil,"0","Brazil"
British Virgin Islands,"0","British Virgin Islands"
Brunei,"0","Brunei"
Bulgaria,"0","Bulgaria"
Burkina Faso,"0","Burkina Faso"
Burma,"0","Burma"
Burundi,"0","Burundi"
Cambodia,"0","Cambodia"
Cameroon,"0","Cameroon"
Canada,"0","Canada"
Cape Verde,"0","Cape Verde"
Cayman Islands,"0","Cayman Islands"
Central African Republic,"0","Central African Republic"
Chad,"0","Chad"
Chile,"0","Chile"
China,"0","China"
Christmas Island,"0","Christmas Island"
Cocos (Keeling) Islands,"0","Cocos (Keeling) Islands"
Colombia,"0","Colombia"
Comoros,"0","Comoros"
Congo (Brazzaville),"0","Congo (Brazzaville)"
Congo (Kinshasa),"0","Congo (Kinshasa)"
Cook Islands,"0","Cook Islands"
Costa Rica,"0","Costa Rica"
Cote d'Ivoire,"0","Cote d'Ivoire"
Croatia,"0","Croatia"
Cuba,"0","Cuba"
Cyprus,"0","Cyprus"
Czech Republic,"0","Czech Republic"
Denmark,"0","Denmark"
Djibouti,"0","Djibouti"
Dominica,"0","Dominica"
Dominican Republic,"0","Dominican Republic"
East Timor,"0","East Timor"
Ecuador,"0","Ecuador"
Egypt,"0","Egypt"
El Salvador,"0","El Salvador"
Equatorial Guinea,"0","Equatorial Guinea"
Eritrea,"0","Eritrea"
Estonia,"0","Estonia"
Ethiopia,"0","Ethiopia"
Falkland Islands,"0","Falkland Islands"
Faroe Islands,"0","Faroe Islands"
Fiji,"0","Fiji"
Finland,"0","Finland"
France,"0","France"
French Guiana,"0","French Guiana"
French Polynesia,"0","French Polynesia"
Gabon,"0","Gabon"
Gambia,"0","Gambia"
Georgia,"0","Georgia"
Germany,"0","Germany"
Ghana,"0","Ghana"
Gibraltar,"0","Gibraltar"
Greece,"0","Greece"
Greenland,"0","Greenland"
Grenada,"0","Grenada"
