lemma,poscode,surface,
Conversation ,0,Conversation ,
Document Conversion ,0,Document Conversion ,
Language Translator ,0,Language Translator ,
Natural Language Classifier ,0,Natural Language Classifier ,NLC
Natural Language Understanding ,0,Natural Language Understanding ,
Personality Insights ,0,Personality Insights ,
Retrieve and Rank ,0,Retrieve and Rank ,
Discovery,0,Discovery,
Tone Analyzer,0,Tone Analyzer,
Speech to Text,0,Speech to Text,
Text to Speech,0,Text to Speech,
Visual Recognition,0,Visual Recognition,
Discovery ,0,Discovery ,
Discovery News ,0,Discovery News ,
Tradeoff Analytics,0,Tradeoff Analytics,
Watson Explorer,0,Watson Explorer,
Bluemix,0,Bluemix,
DB2,0,DB2,
Watson,0,Watson,
SE,0,SE,
LUIS,0,LUIS,
Azure,0,Azure,
Alexa,0,Alexa,
Watson,0,Watson,
Cognitive Technology,0,Cognitive Technology,
JSON,0,JSON,
XML,0,XML,
Siri,0,Siri,
Cortana,0,Cortana,
Database,0,Database,
IPv4,0,IPv4,
IPv6,0,IPv6,
Java,0,Java,
Python,0,Python,
